short_opening_name,opening_name,winner,opening_eco,num_games,white_rating,black_rating,turns
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,draw,B21,6,1512,1581,88
King's Knight Opening,King's Knight Opening: Normal Variation,black,C44,41,1396,1430,63
Sicilian Defense,Sicilian Defense: Drazic Variation,black,B40,2,1590,1622,92
Queen's Gambit Accepted,Queen's Gambit Accepted: Central Variation |  Rubinstein Defense,white,D20,1,1412,1305,63
Pirc Defense,Pirc Defense: Classical Variation #2,white,B07,3,1485,1322,49
King's Pawn Game,King's Pawn Game,white,C20,14,1547,1465,34
St. George Defense,St. George Defense,white,B00,20,1559,1356,38
Alekhine Defense,Alekhine Defense: John Tracy Gambit,black,B02,2,1474,1820,66
Anderssen Opening,Anderssen Opening,draw,A00,1,1588,1696,117
Latvian Gambit Accepted,Latvian Gambit Accepted,white,C40,5,1571,1423,38
Ruy Lopez,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,draw,C67,2,1543,1644,56
Russian Game,Russian Game: Three Knights Game,black,C42,29,1536,1586,62
Sicilian Defense,Sicilian Defense: Najdorf Variation,white,B95,2,1986,1826,80
Old Indian Defense,Old Indian Defense,white,A41,9,1630,1459,72
Dutch Defense,Dutch Defense,black,A80,15,1735,1735,59
Nimzowitsch Defense,Nimzowitsch Defense: Williams Variation,black,B00,6,1529,1488,69
Bishop's Opening,Bishop's Opening: Boi Variation,draw,C20,2,1735,1621,96
French Defense,French Defense: Paulsen Variation,white,C10,13,1650,1478,57
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit Declined |  Alapin Formation,white,B21,2,1835,1500,61
King's Pawn Opening,King's Pawn Opening: Speers,black,B20,1,1032,1140,10
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation,white,B00,4,1420,1385,60
Vienna Game,Vienna Game: Paulsen Variation,black,C25,2,1427,1478,74
Latvian Gambit Accepted |  Main Line,Latvian Gambit Accepted |  Main Line,white,C40,2,2352,2366,74
Alekhine Defense,Alekhine Defense: Four Pawns Attack,black,B03,1,1500,1758,62
King's Gambit Accepted |  Schallopp Defense,King's Gambit Accepted |  Schallopp Defense,black,C34,8,1560,1553,41
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense |  Janowski Variation,black,D07,4,1289,1336,89
Vienna Game,Vienna Game,black,C27,15,1435,1503,67
Caro-Kann Defense #2,Caro-Kann Defense #2,draw,B10,3,1275,1398,130
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense |  Janowski Variation,white,D07,6,1512,1409,57
Hungarian Opening,Hungarian Opening,draw,A00,3,1386,1279,43
Scandinavian Defense,Scandinavian Defense: Main Line,white,B01,38,1649,1625,64
French Defense,French Defense: Advance Variation |  Paulsen Attack,draw,C02,3,1693,1642,93
Sicilian Defense,Sicilian Defense: O'Kelly Variation |  Yerevan System,white,B28,4,1904,1915,114
Sicilian Defense,Sicilian Defense: Najdorf Variation |  Scheveningen Variation,white,B84,1,2175,1983,37
Ruy Lopez,Ruy Lopez: Exchange Variation |  Lutikov Variation,black,C68,7,1559,1699,62
King's Pawn Game,King's Pawn Game: Damiano Defense,black,C40,29,1311,1326,57
English Opening,English Opening: Anglo-Dutch Defense,black,A10,7,1829,1709,43
Sicilian Defense,Sicilian Defense: Godiva Variation,black,B32,4,1622,1596,60
Sicilian Defense,Sicilian Defense,draw,B20,5,1318,1538,97
Englund Gambit,Englund Gambit,white,A40,27,1539,1388,50
Sicilian Defense,Sicilian Defense: Dragon Variation,white,B70,10,1562,1592,88
Italian Game,Italian Game: Rousseau Gambit,black,C50,2,1098,1136,70
Portuguese Opening,Portuguese Opening,black,C20,12,1299,1398,51
Sicilian Defense,Sicilian Defense: Bowdler Attack,draw,B20,13,1458,1497,73
King's Pawn Game,King's Pawn Game: Alapin Opening,black,C20,2,1036,1294,54
Queen's Gambit Accepted,Queen's Gambit Accepted: Accelerated Mannheim Variation,black,D20,4,1338,1283,76
Zukertort Opening,Zukertort Opening: Dutch Variation,white,A04,7,1726,1653,77
Scandinavian Defense,Scandinavian Defense: Gubinsky-Melts Defense,black,B01,4,1569,1580,56
Queen's Pawn Game,Queen's Pawn Game: Veresov Attack |  Alburt Defense,black,D00,4,1386,1560,58
Scandinavian Defense,Scandinavian Defense: Gubinsky-Melts Defense,white,B01,6,1624,1583,42
Caro-Kann Defense,Caro-Kann Defense: Hillbilly Attack,black,B00,18,1497,1601,58
Owen Defense,Owen Defense,draw,B00,9,1626,1537,92
French Defense,French Defense: Advance Variation |  Nimzowitsch System,white,C02,13,1546,1514,60
Queen's Gambit Declined,Queen's Gambit Declined: Alapin Variation,white,D31,1,1595,1660,79
Queen's Gambit,Queen's Gambit,white,D06,10,1705,1474,65
Sicilian Defense,Sicilian Defense: Paulsen Variation,black,B46,10,1564,1706,64
Ponziani Opening,Ponziani Opening,black,C44,18,1415,1497,56
Three Knights Opening,Three Knights Opening: Winawer Defense,black,C46,4,1724,1803,55
Sicilian Defense,Sicilian Defense: Paulsen Variation,black,B44,8,1669,1727,70
Vienna Game,Vienna Game: Paulsen Variation,white,C25,1,1535,1634,103
English Opening,English Opening: King's English Variation |  Kramnik-Shirov Counterattack,black,A21,8,1595,1646,74
King's Gambit,King's Gambit,black,C30,20,1443,1508,71
French Defense,French Defense: Advance Variation |  Nimzowitsch System,draw,C02,2,1664,1520,98
King's Knight Opening,King's Knight Opening: Konstantinopolsky,white,C44,3,1373,1395,63
Philidor Defense,Philidor Defense: Nimzowitsch Variation #2,white,C41,3,1348,1278,43
Modern Defense,Modern Defense: Two Knights Variation,black,B06,5,1760,1850,51
Philidor Defense,Philidor Defense: Hanham Variation,black,C41,2,1378,1438,80
Old Indian,Old Indian: Czech Variation |  with Nc3,white,A53,1,1728,1576,87
Nimzowitsch Defense |  Declined Variation,Nimzowitsch Defense |  Declined Variation,white,B00,12,1736,1419,59
Ruy Lopez,Ruy Lopez: Morphy Defense |  Anderssen Variation,white,C77,10,1933,1693,75
King's Pawn Game,King's Pawn Game: Dresden Opening,white,C44,3,1568,1633,74
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,black,B00,4,1545,1566,65
King's Pawn Game,King's Pawn Game: Beyer Gambit,black,C21,3,1311,1288,33
King's Gambit Declined |  Queen's Knight Defense,King's Gambit Declined |  Queen's Knight Defense,draw,C30,2,1657,1491,64
Philidor Defense #4,Philidor Defense #4,white,C41,14,1625,1625,73
Nimzo-Indian Defense,Nimzo-Indian Defense,white,E20,8,1790,1707,67
King's Pawn Game,King's Pawn Game: Napoleon Attack,white,C20,30,1463,1415,53
Petrov's Defense #2,Petrov's Defense #2,white,C42,18,1593,1505,64
Italian Game,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,black,C57,17,1418,1398,58
Sicilian Defense,Sicilian Defense: O'Kelly Variation,black,B28,3,1393,1618,50
King's Pawn Game,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,black,C20,15,1354,1429,83
French Defense,French Defense: Steinitz Variation #2,white,C11,3,1965,1928,74
Alekhine Defense,Alekhine Defense: Normal Variation,black,B02,9,1318,1442,42
Horwitz Defense,Horwitz Defense,draw,A40,5,1541,1526,74
Vienna Game,Vienna Game: Stanley Variation |  Reversed Spanish,white,C26,5,1611,1450,53
Ruy Lopez,Ruy Lopez: Nuernberg Variation,white,C60,3,1810,1375,68
King's Pawn Game,King's Pawn Game: Napoleon Attack,draw,C20,4,1280,1313,45
King's Pawn Game,King's Pawn Game: Wayward Queen Attack,draw,C20,6,1260,1274,40
King's Pawn Game,King's Pawn Game: Tortoise Opening,white,C20,6,1395,1380,66
Sicilian Defense,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,white,B31,11,1770,1728,53
Gruenfeld Defense,Gruenfeld Defense: Three Knights Variation |  Hungarian Variation,white,D93,1,1786,1795,75
Queen's Gambit Declined,Queen's Gambit Declined: Orthodox Defense,white,D60,2,1674,1825,74
Ruy Lopez,Ruy Lopez: Morphy Defense |  Anderssen Variation,black,C77,10,1837,1899,65
Pirc Defense #5,Pirc Defense #5,white,B07,32,1705,1526,55
Ruy Lopez,Ruy Lopez: Cozio Defense,draw,C60,2,1810,1748,106
Semi-Slav Defense,Semi-Slav Defense,draw,D43,7,1956,1901,90
Ruy Lopez,Ruy Lopez: Classical Variation |  Central Variation,white,C64,9,1717,1568,85
Sicilian Defense,Sicilian Defense: Sozin Attack |  Leonhardt Variation,black,B88,4,1687,1684,37
Semi-Slav Defense,Semi-Slav Defense: Bogoljubov Variation,draw,D46,1,1879,1863,123
Ruy Lopez,Ruy Lopez: Morphy Defense |  Modern Steinitz Defense,black,C74,1,1895,1813,54
Sicilian Defense #2,Sicilian Defense #2,draw,B54,3,1579,1549,110
Sicilian Defense,Sicilian Defense: Wing Gambit,black,B20,3,1754,1914,68
Alekhine Defense,Alekhine Defense: Modern Variation |  Larsen Variation,white,B04,2,1603,1256,64
King's Gambit Accepted |  MacLeod Defense,King's Gambit Accepted |  MacLeod Defense,white,C34,19,1735,1532,42
Ruy Lopez,Ruy Lopez: Berlin Defense,white,C65,11,1667,1593,59
Sicilian Defense,Sicilian Defense: Najdorf |  Lipnitsky Attack,black,B90,19,1696,1892,66
Ruy Lopez,Ruy Lopez: Morphy Defense,black,C78,7,1889,1871,55
Mikenas Defense,Mikenas Defense: Cannstatter Variation,black,A40,1,1734,1402,90
Sicilian Defense,Sicilian Defense: Jalalabad Variation,white,B27,6,1494,1362,52
Queen's Gambit Declined,Queen's Gambit Declined: Normal Defense,black,D35,18,1708,1727,60
Nimzo-Indian Defense,Nimzo-Indian Defense: Leningrad Variation,black,E30,1,1850,2192,66
Nimzo-Indian Defense,Nimzo-Indian Defense: Leningrad Variation,white,E30,3,1822,1816,90
Queen's Gambit Accepted,Queen's Gambit Accepted: Central Variation |  Rubinstein Defense |  Yefimov Gambit,black,D20,1,1819,1889,170
Queen's Gambit Accepted,Queen's Gambit Accepted: Normal Variation,black,D25,4,1674,1666,110
Dutch Defense,Dutch Defense: Queen's Knight Variation,black,A85,14,1735,1852,62
Center Game,Center Game: Kieseritzky Variation #2,white,C21,1,1949,1879,59
King's Gambit Accepted |  Bishop's Gambit |  Maurian Defense,King's Gambit Accepted |  Bishop's Gambit |  Maurian Defense,black,C33,2,1604,1839,107
Italian Game,Italian Game: Evans Gambit |  Pierce Defense,white,C52,2,1882,1698,49
Robatsch (Modern) Defense,Robatsch (Modern) Defense,white,B06,23,1701,1620,58
Sicilian Defense,Sicilian Defense: Closed Variation |  Chameleon Variation,black,B23,1,1331,1289,70
Englund Gambit Declined |  Reversed Krebs,Englund Gambit Declined |  Reversed Krebs,black,A40,2,1238,1310,40
French Defense,French Defense: Advance Variation #4,white,C02,10,1622,1612,63
Center Game,Center Game: Hall Variation,black,C22,6,1425,1585,37
English Opening,English Opening: Agincourt Defense #2,white,A13,6,1809,1697,53
King's Gambit Accepted |  Polerio Gambit,King's Gambit Accepted |  Polerio Gambit,black,C33,3,1714,1792,64
Rat Defense,Rat Defense: Small Center Defense,white,C00,32,1722,1513,57
Rat Defense,Rat Defense: Harmonist,white,B07,5,1950,1357,51
King's Pawn,King's Pawn,white,B00,17,1821,1529,8
Nimzo-Larsen Attack,Nimzo-Larsen Attack,black,A01,8,1234,1543,53
Benoni Defense,Benoni Defense: Benoni Gambit Accepted,draw,A43,6,1593,1435,48
Scotch Game,Scotch Game: Benima Defense,black,C44,2,1384,1509,73
French Defense,French Defense: Classical Variation |  Steinitz Variation,white,C14,2,1975,1652,25
Sicilian Defense,Sicilian Defense: Najdorf Variation,black,B98,2,1500,2126,78
Mieses Opening,Mieses Opening: Reversed Rat,black,A00,18,1439,1600,54
French Defense,French Defense: King's Indian Attack,black,C00,22,1439,1510,54
Modern Defense,Modern Defense,black,B06,43,1446,1603,73
French Defense,French Defense,black,C00,7,1401,1573,47
King's Pawn Game,King's Pawn Game: King's Head Opening #2,black,C20,15,1329,1429,47
King's Pawn Game,King's Pawn Game: Busch-Gass Gambit,black,C40,16,1485,1542,39
Kadas Opening,Kadas Opening,white,A00,6,1773,1633,51
Irish Gambit,Irish Gambit,black,C44,3,1190,1334,6
Italian Game,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,black,C58,12,1584,1668,52
King's Gambit Accepted |  King's Knight Gambit,King's Gambit Accepted |  King's Knight Gambit,white,C34,8,1629,1501,52
Van Geet Opening,Van Geet Opening: Napoleon Attack,black,A00,3,1768,1596,60
Caro-Kann Defense,Caro-Kann Defense: Maroczy Variation,black,B12,5,1386,1569,54
Sicilian Defense,Sicilian Defense: Paulsen Variation |  Normal Variation,black,B45,4,1505,1841,53
Ruy Lopez,Ruy Lopez: Morphy Defense |  Caro Variation,draw,C70,2,1445,1514,24
Ruy Lopez,Ruy Lopez: Berlin Defense |  Minckwitz Variation,white,C67,1,2086,1350,33
Sicilian Defense,Sicilian Defense: Hyperaccelerated Dragon,black,B27,11,1563,1698,58
Scotch Game,Scotch Game: Scotch Gambit |  Dubois Reti Defense,white,C44,2,1658,1662,49
Bishop's Opening,Bishop's Opening,draw,C23,8,1466,1386,42
Nimzowitsch Defense |  Declined Variation,Nimzowitsch Defense |  Declined Variation,black,B00,10,1527,1512,71
Caro-Kann Defense,Caro-Kann Defense,black,B12,6,1600,1564,68
English Opening,English Opening: Symmetrical Variation,white,A30,20,1632,1540,57
Center Game,Center Game,black,C21,9,1389,1470,45
Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation |  Paulsen Attack,white,B00,4,1388,1270,60
Center Game #2,Center Game #2,black,C21,23,1346,1401,50
Hungarian Opening,Hungarian Opening: Indian Defense,white,A00,6,1374,1204,58
Nimzowitsch Defense,Nimzowitsch Defense: Breyer Variation,white,B00,3,1471,1516,70
Four Knights Game,Four Knights Game: Double Spanish,black,C49,3,1446,1719,62
Nimzowitsch Defense,Nimzowitsch Defense: Pseudo-Spanish Variation,white,B00,3,1350,1359,92
Four Knights Game,Four Knights Game: Spanish Variation |  Rubinstein Variation Accepted,white,C48,1,1341,1056,59
Nimzowitsch Defense,Nimzowitsch Defense: Kennedy Variation |  Keres Attack,black,B00,1,1359,1391,44
Modern Defense,Modern Defense: Two Knights Variation |  Suttles Variation,black,B06,3,1818,1809,114
Zukertort Opening,Zukertort Opening: Queen's Gambit Invitation,black,A04,13,1473,1483,66
Queen's Gambit Accepted,Queen's Gambit Accepted: Normal Variation |  Traditional System,white,D26,1,1740,1485,39
English Opening,English Opening: Anglo-Indian Defense |  Scandinavian Defense,black,A15,3,1564,1637,48
Zukertort Opening,Zukertort Opening: Queenside Fianchetto Variation,black,A04,3,1749,1680,73
Bird Opening,Bird Opening: Dutch Variation,white,A03,27,1590,1558,62
Scotch Game,Scotch Game: Scotch Gambit,white,C44,8,1850,1678,45
Scandinavian Defense,Scandinavian Defense: Blackburne-Kloosterboer Gambit,black,B01,4,1661,1573,46
Nimzo-Larsen Attack,Nimzo-Larsen Attack: Indian Variation,black,A01,11,1608,1913,55
Caro-Kann Defense,Caro-Kann Defense: Advance Variation |  Short Variation,black,B12,11,1589,1654,63
Caro-Kann Defense,Caro-Kann Defense: Panov Attack |  Modern Defense |  Mieses Line,white,B13,2,1914,1878,54
Sicilian Defense,Sicilian Defense: Paulsen Variation,draw,B46,1,1885,1837,133
London System,London System,black,A48,13,1759,1900,63
Queen's Pawn Opening,Queen's Pawn Opening: Veresov Attack |  Irish Gambit,white,D00,2,2131,1431,63
Scotch Game,Scotch Game: Scotch Gambit |  Cochrane-Anderssen Variation,white,C44,2,1426,1447,54
English Opening,English Opening: Carls-Bremen System,black,A22,8,1723,1791,60
Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Early Deviations,white,B75,3,1296,1489,38
Rat Defense,Rat Defense: English Rat,black,A41,3,1414,1228,41
English Opening,English Opening: Symmetrical Variation |  Duchamp Variation,white,A38,3,1869,1693,64
Sicilian Defense,Sicilian Defense: Najdorf Variation |  Amsterdam Variation,white,B93,3,1966,1795,60
Slav Defense,Slav Defense: Chameleon Variation,black,D15,2,1728,1923,59
Hungarian Opening,Hungarian Opening: Sicilian Invitation,black,A00,2,1404,1722,79
Queen's Pawn Game,Queen's Pawn Game: Symmetrical Variation,white,D02,20,1815,1713,77
Philidor Defense,Philidor Defense: Lion Variation,black,C41,2,1486,1926,53
Sicilian Defense,Sicilian Defense: Classical Variation |  Anti-Sozin Variation,draw,B57,1,2264,1639,140
Ruy Lopez,Ruy Lopez: Morphy Defense |  Wormald Attack,black,C77,2,1520,1830,83
French Defense,French Defense: Winawer Variation |  Poisoned Pawn Variation,black,C18,2,2047,2170,71
Russian Game,Russian Game: Classical Attack |  Chigorin Variation,draw,C42,1,2225,2264,173
Clemenz Opening,Clemenz Opening,black,A00,5,1479,1732,27
Bishop's Opening,Bishop's Opening: Philidor Counterattack,black,C23,6,1482,1671,61
Nimzo-Indian Defense,Nimzo-Indian Defense: Fischer Variation,white,E44,1,2264,1455,97
Nimzo-Indian Defense,Nimzo-Indian Defense: Classical Variation,black,E32,7,1863,2082,70
Caro-Kann Defense,Caro-Kann Defense: Advance Variation |  Bronstein Variation,black,B12,2,1675,2019,54
Hungarian Opening,Hungarian Opening: Symmetrical Variation,white,A00,5,1630,1434,72
Queen's Gambit Declined,Queen's Gambit Declined: Pseudo-Tarrasch Variation,draw,D50,1,1465,1449,208
Tarrasch Defense,Tarrasch Defense: Symmetrical Variation,black,D32,6,1725,1775,47
Reti Opening #2,Reti Opening #2,white,A04,7,1841,1754,58
Sicilian Defense,Sicilian Defense: Najdorf Variation,black,B95,3,1797,1778,65
King's Indian Defense,King's Indian Defense: Zinnowitz Variation,black,E90,5,1686,1871,65
Zukertort Opening,Zukertort Opening: Pirc Invitation,white,A04,10,1793,1495,49
King's Indian Attack,King's Indian Attack: Wahls Defense,draw,A05,2,1579,1538,102
King's Indian Defense,King's Indian Defense: Averbakh Variation |  Flexible Defense,white,E73,2,2146,2092,66
Sicilian Defense,Sicilian Defense: Alapin Variation |  Smith-Morra Declined,white,B22,2,2060,1981,96
King's Indian Defense,King's Indian Defense: Accelerated Averbakh Variation,white,E70,1,1899,1950,103
Reti Opening #2,Reti Opening #2,black,A04,9,1554,1725,39
Zukertort Opening,Zukertort Opening: Sicilian Invitation,draw,A04,3,1706,1740,92
Sicilian Defense,Sicilian Defense: Najdorf Variation,white,B90,17,1730,1661,61
King's Indian Attack,King's Indian Attack,draw,A08,3,1941,1727,95
Sicilian Defense,Sicilian Defense: Sozin Attack,white,B86,2,2042,2046,59
Sicilian Defense,Sicilian Defense: Lasker-Dunne Attack,draw,B20,2,2072,2065,136
King's Indian Attack,King's Indian Attack: Symmetrical Defense,draw,A05,1,1941,1916,109
Sicilian Defense,Sicilian Defense: Najdorf Variation |  Opocensky Variation,white,B92,4,1852,1802,78
Sicilian Defense,Sicilian Defense: Scheveningen Variation |  Classical Variation,white,B84,4,1676,1612,74
Ruy Lopez,Ruy Lopez: Exchange Variation |  Gligoric Variation,white,C69,3,1832,1463,67
Sicilian Defense,Sicilian Defense: Closed Variation,draw,B23,6,1804,1723,60
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,draw,B00,1,1474,2010,90
Sicilian Defense,Sicilian Defense: Dragon Variation |  Modern Bc4 Variation,white,B35,2,1652,1661,80
Queen's Pawn Game,Queen's Pawn Game: Franco-Sicilian Defense,black,C00,7,1474,1656,53
Blackmar-Diemer Gambit Declined |  Weinsbach Declination,Blackmar-Diemer Gambit Declined |  Weinsbach Declination,white,D00,1,1500,1393,75
English Opening,English Opening: Anglo-Indian Defense |  King's Indian Formation,white,A15,4,1998,2020,62
Hungarian Opening,Hungarian Opening: Symmetrical Variation,black,A00,6,1473,1651,72
Hungarian Opening,Hungarian Opening: Catalan Formation,white,A00,4,1381,1246,60
Pirc Defense,Pirc Defense: Byrne Variation,black,B07,5,1606,1613,61
King's Indian Defense,King's Indian Defense: Steiner Attack,draw,E76,1,1794,1714,71
Pirc Defense,Pirc Defense,white,B07,5,1589,1509,79
Queen's Gambit Declined,Queen's Gambit Declined: Harrwitz Attack,white,D35,5,1634,1624,48
Tarrasch Defense,Tarrasch Defense: Symmetrical Variation,white,D32,4,1660,1577,54
Nimzo-Larsen Attack,Nimzo-Larsen Attack: Indian Variation,white,A01,4,1841,1939,78
Queen's Gambit Accepted,Queen's Gambit Accepted: Normal Variation,white,D21,3,1719,1578,38
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense |  Modern Gambit,white,D06,4,1640,1461,48
Mexican Defense,Mexican Defense,black,A50,3,1590,1664,47
Slav Defense,Slav Defense: Exchange Variation,black,D10,12,1590,1586,81
Nimzo-Indian Defense #2,Nimzo-Indian Defense #2,black,E20,4,1624,1452,42
Queen's Gambit Accepted,Queen's Gambit Accepted: Slav Gambit,white,D21,3,1624,1536,46
Queen's Gambit Refused,Queen's Gambit Refused: Baltic Defense,white,D02,6,1572,1426,44
Pirc Defense,Pirc Defense,draw,B07,2,1824,1853,72
Pirc Defense,Pirc Defense: Kholmov System,black,B07,2,1329,1584,58
Old Indian,Old Indian: Czech Variation |  with Nc3,black,A53,2,1504,1580,41
Pirc Defense,Pirc Defense: Classical Variation |  Schlechter Variation,white,B08,4,1831,1773,64
Pirc Defense #4,Pirc Defense #4,draw,B07,8,1592,1520,71
Slav Defense #2,Slav Defense #2,white,D10,16,1753,1670,64
Nimzo-Indian Defense,Nimzo-Indian Defense: Saemisch Variation |  Accelerated,black,E24,5,1876,2037,58
Benoni Defense,Benoni Defense: Benoni Gambit Accepted,white,A43,7,1641,1575,59
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense #2,white,D07,7,1781,1674,50
Queen's Gambit Refused,Queen's Gambit Refused: Baltic Defense |  Pseudo-Slav,white,D02,5,1913,1834,74
Semi-Slav Defense,Semi-Slav Defense: Noteboom Variation |  Abrahams Variation,black,D31,1,1900,1900,58
Semi-Slav Defense,Semi-Slav Defense: Accelerated Move Order,white,D31,12,1774,1610,74
Dutch Defense,Dutch Defense: Queen's Knight Variation,white,A85,14,1830,1714,59
Queen's Gambit Declined,Queen's Gambit Declined: Vienna Variation |  Quiet Variation,white,D44,3,1534,1399,36
Zukertort Opening,Zukertort Opening: Arctic Defense,black,A04,4,1402,1425,46
Mikenas Defense,Mikenas Defense: Cannstatter Variation,white,A40,2,1542,1256,37
Barnes Defense,Barnes Defense,draw,B00,1,1331,1296,100
Nimzowitsch Defense,Nimzowitsch Defense,white,B00,25,1478,1321,44
English Defense #2,English Defense #2,black,A40,25,1547,1549,56
Queen's Pawn Game,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,white,D02,5,1561,1360,48
English Opening,English Opening,white,A10,11,1689,1536,61
Italian Game,Italian Game: Two Knights Defense |  Ponziani-Steinitz Gambit,black,C57,1,1500,1500,12
Scandinavian Defense,Scandinavian Defense: Blackburne Gambit,white,B01,4,1525,1492,56
Scandinavian Defense,Scandinavian Defense: Blackburne Gambit,black,B01,8,1381,1539,52
King's Pawn Opening,King's Pawn Opening: 2.b3,white,C20,5,1420,1491,82
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Vienna Variation,black,D00,1,1084,1402,26
Bishop's Opening,Bishop's Opening: Calabrese Countergambit,black,C23,1,1406,1416,50
Zukertort Opening,Zukertort Opening: Reversed Mexican Defense,white,A06,6,1280,1352,65
System,System: Double Duck Formation,white,A02,2,1732,1562,33
Queen's Pawn Game,Queen's Pawn Game: Colle System,white,D04,13,1673,1592,60
Saragossa Opening,Saragossa Opening,white,A00,28,1642,1588,65
Nimzowitsch Defense,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation |  Heinola-Deppe Gambit,draw,B00,1,1730,1309,137
Queen's Pawn Game #3,Queen's Pawn Game #3,draw,D00,5,1554,1666,127
Dutch Defense,Dutch Defense,black,A84,7,1741,1759,70
Indian Game,Indian Game: Pawn Push Variation,black,A45,4,1544,1593,58
King's Gambit Accepted |  Bishop's Gambit,King's Gambit Accepted |  Bishop's Gambit,black,C33,4,1762,1938,55
Queen's Gambit Declined,Queen's Gambit Declined: Modern Variation,white,D50,7,1681,1572,77
Italian Game,Italian Game: Schilling-Kostic Gambit,white,C50,13,1607,1535,56
Queen's Gambit Accepted,Queen's Gambit Accepted: Bogoljubov Defense,black,D24,1,1550,1620,52
Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Gedult Gambit,black,D00,5,1237,1364,68
Sicilian Defense,Sicilian Defense: Staunton-Cochrane Variation,draw,B20,4,1609,1674,109
King's Gambit Accepted |  Abbazia Defense,King's Gambit Accepted |  Abbazia Defense,black,C36,1,1740,1496,81
Reti Opening,Reti Opening,black,A09,2,1885,1871,101
French Defense,French Defense: Winawer Variation |  Maroczy-Wallis Variation,white,C18,3,2020,1958,36
Gruenfeld Defense,Gruenfeld Defense: Exchange Variation |  Modern Exchange Variation,white,D85,5,1782,1858,82
Sicilian Defense,Sicilian Defense: Nimzo-American Variation,white,B32,1,1425,1500,35
Old Indian Defense,Old Indian Defense,white,A53,10,1695,1629,66
Sicilian Defense,Sicilian Defense: Closed Variation |  Traditional,black,B25,27,1469,1645,67
London System,London System,white,A48,4,1621,1623,44
East Indian Defense,East Indian Defense,white,A49,10,1832,1831,64
Paleface Attack,Paleface Attack,white,A45,4,1392,1433,56
Alekhine Defense,Alekhine Defense: Brooklyn Variation,white,B02,2,1406,1267,43
King's Indian Defense,King's Indian Defense: Six Pawns Attack,black,E77,7,1671,1793,94
Sicilian Defense,Sicilian Defense: Kan Variation |  Modern Variation,black,B42,3,1789,1798,51
Indian Game,Indian Game: Anti-Gruenfeld |  Advance Variation,black,E60,2,1075,1463,61
Nimzo-Larsen Attack,Nimzo-Larsen Attack: Modern Variation #4,white,A01,10,1744,1748,70
French Defense,French Defense: Two Knights Variation,white,C00,11,1500,1550,59
Russian Game,Russian Game: Three Knights Game,draw,C42,3,1557,1636,147
Center Game,Center Game: Kieseritzky Variation #4,black,C21,1,886,1659,48
Sicilian Defense,Sicilian Defense: Staunton-Cochrane Variation,white,B20,22,1534,1533,54
French Defense,French Defense: Paulsen Variation,black,C10,4,1528,1737,55
Duras Gambit,Duras Gambit,black,B00,5,1448,1545,37
Bishop's Opening,Bishop's Opening: Boi Variation,black,C20,11,1451,1579,57
Alekhine Defense,Alekhine Defense: Exchange Variation,white,B03,3,2071,2090,94
English Opening,English Opening: Anglo-Indian Defense |  Hedgehog System,black,A17,4,1612,1654,56
King's Knight Opening,King's Knight Opening: Konstantinopolsky,black,C44,9,1480,1611,61
Ruy Lopez,Ruy Lopez: Berlin Defense: Mortimer Trap,white,C65,1,1874,1765,57
Caro-Kann Defense,Caro-Kann Defense: Advance Variation |  Botvinnik-Carls Defense,white,B12,5,1747,1541,35
Center Game,Center Game: Kieseritzky Variation #4,white,C21,3,1693,1681,93
Modern Defense,Modern Defense: Averbakh Variation,white,A42,2,1952,1616,73
King's Gambit Accepted |  King's Knight Gambit,King's Gambit Accepted |  King's Knight Gambit,black,C34,3,1636,1498,45
Mikenas Defense,Mikenas Defense,black,A40,17,1446,1362,55
French Defense,French Defense,white,C00,2,1240,1046,35
Alekhine Defense,Alekhine Defense: Mokele Mbembe |  Vavra Defense,white,B02,4,1550,1312,41
Vienna Game,Vienna Game: Zhuravlev Countergambit #2,white,C25,3,1397,1437,67
French Defense,French Defense: Classical Variation,white,C11,2,1570,1588,42
Russian Game,Russian Game: Moody Gambit,black,C42,1,1253,1232,64
Caro-Kann Defense,Caro-Kann Defense: Modern Variation,white,B12,2,2312,1354,49
